measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Malaria,Number,1980,638005.3059547453,1319927.4481369734,326109.61229086074
Deaths,Global,Both,All ages,Dengue,Number,1980,12205.376645207049,19766.1592485462,7545.510267641597
Deaths,Global,Both,All ages,Yellow fever,Number,1980,13476.508176742256,28615.689769020413,5201.18114114199
Deaths,Global,Both,All ages,Rabies,Number,1980,21813.042707498185,29037.555906542144,15238.215286920651
Deaths,Global,Both,All ages,Tuberculosis,Number,1980,1824812.0966995175,2106084.578919842,1498207.2285454476
Deaths,Global,Both,All ages,Typhoid fever,Number,1980,221368.55403863415,382200.8213896844,108053.01350785208
Deaths,Global,Both,All ages,Meningitis,Number,1980,436917.4957008234,500408.26113061554,383943.60246215574
Deaths,Global,Both,All ages,Diphtheria,Number,1980,56303.44447456538,77495.25996187823,41242.18478161912
Deaths,Global,Both,All ages,Tetanus,Number,1980,513629.5352423805,733172.2965970439,354922.7866018767
Deaths,Global,Both,All ages,Cervical cancer,Number,1980,199543.82968347296,224433.72790369517,182793.4626712835
Deaths,Global,Both,All ages,Measles,Number,1980,810389.9576066779,1637436.9361540757,303057.64996976213
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1980,56830.36412022013,82595.19071640715,31380.634170539368
Deaths,Global,Both,All ages,Cervical cancer,Number,1981,200683.3716487007,224095.47852448837,182781.05548735792
Deaths,Global,Both,All ages,Tuberculosis,Number,1981,1820758.054624,2091584.7813224082,1499616.3824539508
Deaths,Global,Both,All ages,Typhoid fever,Number,1981,216606.75991944206,370879.35565165937,105264.67263006906
Deaths,Global,Both,All ages,Meningitis,Number,1981,436419.0073737135,500984.688545077,383034.4924199635
Deaths,Global,Both,All ages,Diphtheria,Number,1981,55483.11111501192,75310.7054878954,41449.25634555928
Deaths,Global,Both,All ages,Tetanus,Number,1981,496470.6991876056,707352.0678762193,335452.466973973
Deaths,Global,Both,All ages,Measles,Number,1981,806554.9312184869,1606359.718061848,301304.85551839333
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1981,56285.11122187637,80611.24212363985,31691.719726986586
Deaths,Global,Both,All ages,Tuberculosis,Number,1983,1813259.1858485548,2083214.082995105,1502777.7218274993
Deaths,Global,Both,All ages,Typhoid fever,Number,1983,210105.99087363912,359571.6688361348,103734.8095388367
Deaths,Global,Both,All ages,Meningitis,Number,1983,429502.367184788,494050.0853015422,376842.2606503665
Deaths,Global,Both,All ages,Diphtheria,Number,1983,52301.09106166094,70133.38251641445,38703.41264765993
Deaths,Global,Both,All ages,Tetanus,Number,1983,450204.42025590205,644552.4554986131,303903.0345394367
Deaths,Global,Both,All ages,Malaria,Number,1981,650565.1267475706,1461006.9230672552,299963.7795638616
Deaths,Global,Both,All ages,Dengue,Number,1981,12362.906676510882,19910.078049668227,7865.226493560216
Deaths,Global,Both,All ages,Yellow fever,Number,1981,13345.625713744525,28418.020783385713,5153.903832316385
Deaths,Global,Both,All ages,Rabies,Number,1981,21902.27457406836,29309.331147705638,15418.171003493893
Deaths,Global,Both,All ages,Tuberculosis,Number,1985,1813453.1407690514,2068372.835453926,1521336.3511571884
